dataset,dataset_name,openml_id,model,cp_method,alpha,target_coverage,empirical_coverage,avg_set_size,set_size_variance,class_cond_coverage_gap,point_accuracy,brier_score,ece,per_class_efficiency
wdbc,WDBC Breast Cancer,1510,LogReg,Mondrian,0.2,0.8,0.7719298245614035,0.7719298245614035,0.17605417051400432,0.17261904761904756,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.7083333333333334, 1: 0.8809523809523809}"
wdbc,WDBC Breast Cancer,1510,LogReg,Mondrian,0.15,0.85,0.7982456140350878,0.7982456140350878,0.16104955370883348,0.13095238095238093,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.75, 1: 0.8809523809523809}"
wdbc,WDBC Breast Cancer,1510,LogReg,Mondrian,0.1,0.9,0.8333333333333334,0.8421052631578947,0.13296398891966757,0.11309523809523814,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.8055555555555556, 1: 0.9047619047619048}"
wdbc,WDBC Breast Cancer,1510,LogReg,Mondrian,0.05,0.95,0.9385964912280702,0.956140350877193,0.04193598030163129,0.021825396825396748,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.9444444444444444, 1: 0.9761904761904762}"
wdbc,WDBC Breast Cancer,1510,LogReg,Mondrian,0.01,0.99,0.9736842105263158,0.9912280701754386,0.00869498307171438,0.03373015873015883,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 1.0, 1: 0.9761904761904762}"
wdbc,WDBC Breast Cancer,1510,LogReg,APS,0.2,0.8,1.0,1.912280701754386,0.08002462296091108,0.0,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 1.9861111111111112, 1: 1.7857142857142858}"
wdbc,WDBC Breast Cancer,1510,LogReg,APS,0.15,0.85,1.0,1.9210526315789473,0.07271468144044324,0.0,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 1.9861111111111112, 1: 1.8095238095238095}"
wdbc,WDBC Breast Cancer,1510,LogReg,APS,0.1,0.9,1.0,1.9736842105263157,0.02562326869806094,0.0,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 2.0, 1: 1.9285714285714286}"
wdbc,WDBC Breast Cancer,1510,LogReg,APS,0.05,0.95,1.0,2.0,0.0,0.0,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 2.0, 1: 2.0}"
wdbc,WDBC Breast Cancer,1510,LogReg,APS,0.01,0.99,1.0,2.0,0.0,0.0,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 2.0, 1: 2.0}"
wdbc,WDBC Breast Cancer,1510,RandomForest,Standard,0.2,0.8,0.6842105263157895,0.6842105263157895,0.21606648199445988,0.10317460317460314,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 0.7222222222222222, 1: 0.6190476190476191}"
wdbc,WDBC Breast Cancer,1510,RandomForest,Standard,0.15,0.85,0.7456140350877193,0.7543859649122807,0.18528778085564787,0.20039682539682535,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 0.8194444444444444, 1: 0.6428571428571429}"
wdbc,WDBC Breast Cancer,1510,RandomForest,Standard,0.1,0.9,0.9035087719298246,0.9122807017543859,0.08002462296091106,0.14880952380952384,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 0.9583333333333334, 1: 0.8333333333333334}"
wdbc,WDBC Breast Cancer,1510,RandomForest,Standard,0.05,0.95,0.9824561403508771,1.0,0.0,0.04761904761904767,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.0, 1: 1.0}"
wdbc,WDBC Breast Cancer,1510,RandomForest,Standard,0.01,0.99,0.9912280701754386,1.1228070175438596,0.10772545398584181,0.023809523809523836,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.0972222222222223, 1: 1.1666666666666667}"
wdbc,WDBC Breast Cancer,1510,RandomForest,ClassConditional,0.2,0.8,0.7368421052631579,0.7368421052631579,0.19390581717451524,0.11507936507936511,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 0.6944444444444444, 1: 0.8095238095238095}"
wdbc,WDBC Breast Cancer,1510,RandomForest,ClassConditional,0.15,0.85,0.8596491228070176,0.868421052631579,0.11426592797783934,0.14682539682539675,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 0.8055555555555556, 1: 0.9761904761904762}"
wdbc,WDBC Breast Cancer,1510,RandomForest,ClassConditional,0.1,0.9,0.9035087719298246,0.9736842105263158,0.02562326869806094,0.115079365079365,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 0.9583333333333334, 1: 1.0}"
wdbc,WDBC Breast Cancer,1510,RandomForest,ClassConditional,0.05,0.95,0.9649122807017544,1.0350877192982457,0.033856571252693125,0.017857142857142794,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.0555555555555556, 1: 1.0}"
wdbc,WDBC Breast Cancer,1510,RandomForest,ClassConditional,0.01,0.99,0.9912280701754386,1.0701754385964912,0.0652508464142813,0.023809523809523836,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.0972222222222223, 1: 1.0238095238095237}"
wdbc,WDBC Breast Cancer,1510,RandomForest,Mondrian,0.2,0.8,0.7368421052631579,0.7368421052631579,0.19390581717451524,0.11507936507936511,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 0.6944444444444444, 1: 0.8095238095238095}"
wdbc,WDBC Breast Cancer,1510,RandomForest,Mondrian,0.15,0.85,0.8596491228070176,0.868421052631579,0.11426592797783934,0.14682539682539675,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 0.8055555555555556, 1: 0.9761904761904762}"
wdbc,WDBC Breast Cancer,1510,RandomForest,Mondrian,0.1,0.9,0.9035087719298246,0.9736842105263158,0.02562326869806094,0.115079365079365,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 0.9583333333333334, 1: 1.0}"
wdbc,WDBC Breast Cancer,1510,RandomForest,Mondrian,0.05,0.95,0.9649122807017544,1.0350877192982457,0.033856571252693125,0.017857142857142794,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.0555555555555556, 1: 1.0}"
